;;;;;;;;
Empresa: YPF S.A.;;;;;;;;
Analista: Agustín Acuña;;;;;;;;
;;;;;;;;
Indicador;Unidades;2021;2020;Variación;;;;
;;;;;;;;
Ingresos por Venta;(Millones de  AR$); $ 1,167,115.00 ; $ 598,556.00 ;95%;;;;
Créditos por Ventas;(Millones de  AR$); $ 135,505.00 ; $ 94,573.00 ;43%;;;;
Días de Cobranza;(días);43.5;62.77;;;;;
;;;;;;;;
Margen Bruto;(%);19.20%;5.60%;1360;;;;
Margen Operativo;(%);4.60%;-9.30%;1390;;;;
Margen Neto;(%);0.02%;-11.60%;1162;;;;
ROA;(%);0.01%;-3.75%;376;;;;
ROE;(%);0.03%;-10.28%;1031;;;;
;;;;;;;;
Endeudamineto sobre PN;(Veces);1.76;1.74;0.02;;;;
Deuda Financiera;(Millones de  AR$); $ 737,890.00 ; $ 633,213.00 ;0.17;;;;
Endeudamiento sobre Ebit;(Veces);27.3;-21.48;48.78;;;;
Cobertura de Intereses (EBIT);(Veces);-0.37;0.39;-0.76;;;;
;;;;;;;;
