AGE,Range,ID,Cliente,Estado,opco_lico,Helpdesk,Titulo,categoria1,categoria2,categoria3,categoria4,categoria5,categoria6,Fecha de Creación,esta_com_a_v30
29,>15 y <=30,3727779,DRT DIREITA - OPCO - S - M,EM ESPERA,OPCO,ABM_Aplicaciones_Corp,RESSET DE SENHA EMAIL,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-03-31 00:00:00,MR4.2.5 
26,>15 y <=30,3736273,EBH ESTACAO BH - OPCO - N - M,EM ESPERA,OPCO,ABM_Aplicaciones_Corp,OUTLOOK - RESET DE SENHA,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-04-03 00:00:00,MR4.2.5 
26,>15 y <=30,3737351,SCL SHOPPING CENTER LESTE - OPCO - S - C,ABERTO,OPCO,ABM_Aplicaciones_Corp,E-MAIL COM ERRO,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-04-03 00:00:00,MR4.2.5 
24,>15 y <=30,3742725,PPI PARADA PINTO - OPCO - S - B,EM ESPERA,OPCO,ABM_Aplicaciones_Corp,SEM ACESSO AO E-MAIL,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-04-05 00:00:00,MR4.2.5 
28,>15 y <=30,3730548,MTL MARGINAL TIETE LIMAO - OPCO,ABERTO,OPCO,ABM_Aplicaciones_Corp,KRONOS - ERRO AO ACESSAR,RESTAURANTE BRASIL,ACESSO,PORTAL TANGO,SENHA,,,2023-04-01 00:00:00,MR4.2.5 
23,>15 y <=30,3745672,BUZ BUZIOS - LICO,ABERTO,LICO,ABM_Aplicaciones_Corp,CRIAR USUARIO,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,ACESSO,LICO - LIBERAR ACESSO,,2023-04-06 00:00:00,MR4 2.4
28,>15 y <=30,3730901,JOG JORGE BERETTA - OPCO,PENDENTE,OPCO,ABM_Aplicaciones_Corp,TRANSFERIR E CRIAR ACESSO GP TRANSFERIDO LOJA SPM PARA LOJA JOG,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,ACESSO,TRANSFERÊNCIA DE RESTAURANTE,,2023-04-01 00:00:00,MR4.2.5 
24,>15 y <=30,3743786,RCD RECREIO DRIVE - LICO - C,ABERTO,LICO,ABM_Aplicaciones_Corp,DAVID LIM DE PAULO BARBOSA,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,CADASTROS,,,2023-04-05 00:00:00,MR4 2.4
31,>30 y <=45,3723767,HGO HILARIO DE GOUVEIA - OPCO - N - M,EM ESPERA,OPCO,ABM_Aplicaciones_Corp,SENHA DO EMAIL,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-03-29 00:00:00,MR4.2.5 
31,>30 y <=45,3722767,TND AV. PRES. TANCREDO NEVES - LICO,ABERTO,LICO,ABM_Aplicaciones_Corp,NOVO USUÁRIO PAMELA,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,ACESSO,LICO - LIBERAR ACESSO,,2023-03-29 00:00:00,MR4 2.4
31,>30 y <=45,3723516,EMA ANHAIA MELLO 1 - LICO - C,ABERTO,LICO,ABM_Aplicaciones_Corp,CRIAR ACESSO AD PARA  DANIELA FARIAS LACAVA,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,ACESSO,OPCO - NOVOS ACESSO - CREW,,2023-03-29 00:00:00,MR4 2.4
31,>30 y <=45,3723536,EMA ANHAIA MELLO 1 - LICO - C,ABERTO,LICO,ABM_Aplicaciones_Corp,CRIAR ACESSO AD PARA KETHELYN  COSTA CRUZ,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,ACESSO,OPCO - NOVOS ACESSO - CREW,,2023-03-29 00:00:00,MR4 2.4
24,>15 y <=30,3741570,AMP AMP - AMPARO - OPCO,ABERTO,OPCO,BR_H2R_BKOF_RH,GUIA DE POSICIONAMENTO ESTÁ COM FALTA DE FUNCIONARIOS,RESTAURANTE BRASIL,APLICAÇÃO,KRONOS LABOR,GUIA DE POSICIONAMENTO,,,2023-04-05 00:00:00,MR4.2.5 
27,>15 y <=30,3734606,BDT BANDEIRANTES - OPCO - S - C,ABERTO,OPCO,BR_Laboratorio TI Brasil,ORD - VERIFICAR RCT SEM ARQUIVOS NECESSARIO PARA INICIAR APLICAÇÃO,RESTAURANTE BRASIL,HARDWARE,MONITOR DO ORD,NÃO LIGA,,,2023-04-02 00:00:00,MR4.2.5 
44,>30 y <=45,3689860,FLE FLORIANOPOLIS ESTREITO - OPCO,PENDENTE,OPCO,BR_Laboratorio TI Brasil,FLEX NÃO ENVIA VENDAS,RESTAURANTE BRASIL,APLICAÇÃO,NP6,FALHA/ERRO,,,2023-03-16 00:00:00,MR17_B55
56,>45 y <=60,3656747,DCS CANOAS FOOD COMERCIO DE ALIMENTOS LTDA - LICO,PENDENTE,LICO,BR_NP6_Brasil_N3,PEDIDOS DO PEÇA E RETIRE NÃO INTEGRA DO DRIVE,RESTAURANTE BRASIL,SOFTWARE,MEQUI SEM FILA,ERRO DE INTEGRAÇÃO TABLET / POS,,,2023-03-04 00:00:00,V27
24,>15 y <=30,3744596,SSS SANTOS SANTA CASA - OPCO - S - C,EM ESPERA,OPCO,BR_P2P_BKOF_INVENTARIO,CONTROLÁVEIS,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,ABERTURA / FECHAMENTO DE PERÍODO,,,2023-04-05 00:00:00,MR4.2.5 
24,>15 y <=30,3743466,CTG CONTAGEM DRIVE - LICO - M,ABERTO,LICO,BR_P2P_BKOF_INVENTARIO,PRODUTO DO BRECK NÃO APARECE,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,BREAK,,,2023-04-05 00:00:00,MR4 2.4
24,>15 y <=30,3744181,BAT BATEL 2 DRIVE - LICO,ABERTO,LICO,BR_P2P_BKOF_INVENTARIO,PRODUTO NAO CADASTRADO,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,BREAK,,,2023-04-05 00:00:00,V27
24,>15 y <=30,3743790,MBD MAP BANDEIRANTES DRIVE - LICO - M,EM ESPERA,LICO,BR_P2P_BKOF_INVENTARIO,"BOA TARDE, TEM ALGUNS ITENS QUE NÃO ESTAMOS CONSEGUINDO CADASTRAR",RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,CADASTROS,,,2023-04-05 00:00:00,MR4 2.4
24,>15 y <=30,3743667,JSO JARDIM SOCIAL - OPCO - S - M,EM ESPERA,OPCO,BR_P2P_BKOF_INVENTARIO,ITENS DO COMPLETO E INCOMPLETO DESAPARECERAM DO PORTAL,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,CADASTROS,,,2023-04-05 00:00:00,MR4.2.5 
24,>15 y <=30,3743702,JA2 TAQUARA DRIVE - OPCO - N - B,EM ESPERA,OPCO,BR_P2P_BKOF_INVENTARIO,PRODUTOS NÃO APARECEM PARA LANÇAMENTO,RESTAURANTE BRASIL,APLICAÇÃO,CONTROLÁVEIS,CADASTROS,,,2023-04-05 00:00:00,MR4.2.5 
