ID,country,Cliente,Estado,opco_lico,categoria1,categoria2,categoria3,categoria4,Fecha de Creación,Día de la semana 2,criticidade,Hora de la Semana,horas para solucionar un incidente,impacta_venda,helpdesk
3970450,ARGENTINA,LAR.OLI Olivos,FECHADO,OPCO,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,2023-07-02 00:00:00,Domingo,,20,906,,REST-IMNCR
3970414,ARGENTINA,LAR.B31 Local B31  - Barrio 31,FECHADO,LICO,RESTAURANT,SOFTWARE,Pc Gerencia,NO CATEGORIZADO,2023-07-02 00:00:00,Domingo,,20,906,,REST-IMNCR
3972091,ARGENTINA,LAR.PMJ Jumbo Palermo,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-03 00:00:00,Lunes,,13,888,,REST-IMNCR
3980235,ARGENTINA,LAR.PER Pellegrini Rosario,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-05 00:00:00,Miercoles,,22,829,,REST-IMNCR
3980027,ARGENTINA,LAR.ANC Av. Rafael Nuñez 4764,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,PIDE CONTRASEÑA,2023-07-05 00:00:00,Miercoles,,20,819,,REST-IMNCR
3984526,ARGENTINA,LAR.LSC Paseo Libertad Sabattini,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-07 00:00:00,Viernes,,13,792,,REST-IMNCR
3989130,ARGENTINA,LAR.FLA Florida,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-09 00:00:00,Domingo,,15,740,,REST-IMNCR
4001181,ARGENTINA,LAR.QUU Quilmes Unimarc,SOLUCIONADO,OPCO,RESTAURANT,SOFTWARE,Pc Gerencia,NO CATEGORIZADO,2023-07-13 00:00:00,Jueves,,23,733,,REST-IMNCR
3989051,ARGENTINA,LAR.COL Colegiales,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-09 00:00:00,Domingo,,14,728,,REST-IMNCR
3991309,ARGENTINA,LAR.FEC San Fernando Carrefour,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-10 00:00:00,Lunes,,13,718,,REST-IMNCR
3990506,ARGENTINA,LAR.SF2 Plaza Italia,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-10 00:00:00,Lunes,,10,708,,REST-IMNCR
3986773,ARGENTINA,LAR.NVC Nuñez y Victorino Cordoba,FECHADO,OPCO,RESTAURANT,HARDWARE,PINPAD,SIN COMUNICACION,2023-07-08 00:00:00,Sabado,,11,705,,REST-IMNCR
3981423,ARGENTINA,LAR.CMZ Colon y Mitre Mendoza,FECHADO,LICO,RESTAURANT,HARDWARE,MONITOR KVS/COCINA,CABLES DAÑADOS - FALTANTES,2023-07-06 00:00:00,Jueves,,11,694,,REST-NCR
3998853,ARGENTINA,LAR.MA2 Maipu 2,SOLUCIONADO,OPCO,RESTAURANT,HARDWARE,IMPRESORA FISCAL/TIQUETES,IMPRIME INCORRECTAMENTE,2023-07-13 00:00:00,Jueves,,9,684,,REST-NCR
